customer_tweet_id,parent_tweet_id,parent_author,parent_text
989345,989347,same,Papers from @118189 seems like a like good idea but it too separated from the rest of the storage.
810000,810001,same,@DropboxSupport Neither desktop app has a sync tab. Do I now need to download a zip file each time and no longer have a sync option? This is unacceptable.
1507042,1039950,brand,@366039 ...ID so we can follow up on the case? Thx! 2/2
1972451,1972439,brand,"@584215 ...even without an account. For them to comment or edit the file, they will require a Dropbox account. https://t.co/Y7WRXXWXQC 2/2"
1299266,1299262,brand,@370994 ...you are over quota all that should happen is that Dropbox will not sync any new files. Hope this helps! 3/3
399225,399201,brand,Resolved: We've resolved the issue! Desktop application performance should be coming back to normal. Thanks for bea… https://t.co/iNUaUPSeWk
799566,799564,brand,"Strong password, two-step verification, remote wipe: learn how to keep your Dropbox account secure 🔒
https://t.co/UfxefwBM99"
1347292,1347291,brand,"@434186 Hey Ryan, thanks for sharing. Where are you uploading the PNG’s from? Mobile device, web, or desktop app? Thanks in advance!"
2150101,2150100,brand,"@631912 Hey there, are you still unable to create a link to files or folders? Have you tried using a different web browser? If the issue persists, please submit a support request here https://t.co/aixbBeAWNx, so an agent can investigate and assist. 
Thanks!"
1040842,1040843,same,"@232660 @366207 @71151 @118189 https://t.co/EXOUlArOn6 says scheduled keys should be listed and apply automatically. But the site does not list them, @118189 must have updated the backend site and forgot about these."
1874043,1874045,same,"Ima go look at my old cudi concert vids that I have, hopefully @118189 hasn't deleted them or I'm crying."
1781362,1781363,same,Conseil #thèse : utilisez Dropbox. Il garde toutes les versions du .doc. Ma Biblio a décidé de se suicider quand mon stress redescendait 🙃
2187450,2187449,brand,"@640565 Hi again, thanks for taking the time to share your thoughts on this. Feel free to reach back should you need anything else. Have a lovely week!"
1972693,1972692,brand,"@201391 Hi Erik, how fast is your ISP connection? Is there any proxy, VPN, firewall or other security software that could be affecting the speed?"
1644499,1644500,other,"@DropboxSupport Web site appears to be down (Google Chrome, Windows 7 PC) and my older MS Word documents don't open on iPhone in DropBox Ap"
