customer_tweet_id,customer_text,intent,confidence,reason
2914964,"@DropboxSupport I need to merge 2 folders together. Marketing, and Marketing (1). Easiest way to do this?",how_to_usage,0.99,"User is asking for guidance on merging two folders, which is a how-to usage question."
1820072,@546422 @118189 @DropboxSupport Same as here. Also in Safari and @14621,sync_technical_bug,0.8,"The user reports the same issue as others and mentions Safari, indicating a technical bug affecting the app or website."
1682379,"@DropboxSupport Thank u for ur response. This option is not user friendly, would it possible to pls give me an email address so I can confirm cancellation?",billing_subscription,0.95,The user is requesting an email address to confirm cancellation of their subscription.
1274528,@DropboxSupport Today’s update promised a return of the home screen - I don’t see it?,sync_technical_bug,0.95,"User reports that the home screen promised in an update is missing, indicating a broken feature in the app."
1421735,"If sharing a folder to view by a link, can they just view and download files? or can they edit the content of the folder? @DropboxSupport",how_to_usage,0.99,"The user is asking how sharing a folder via link works—whether recipients can view/download or edit, which is a usage question."
2823321,"@118189 I was lucky I could log into my computer and use a backup code there. Would've preferred to have it in the phone itself though, lol.",account_login,0.8,"The user discusses using a backup code for login and expresses a preference for having it on their phone, which falls under 2FA/backup code issues."
234493,@DropboxSupport I’m deleting them first because they’re duplicates that I don’t want uploaded to camera roll but when I sync after they still show up.,sync_technical_bug,0.95,"User reports that after deleting duplicate photos, they still appear after syncing, indicating a sync issue."
1067513,"@118189 why did you remove the check-mark, every time i look at the icon in the tray i now think that dropbox is offline...",sync_technical_bug,0.92,"The user reports a change in the Dropbox tray icon (check‑mark removed) and believes Dropbox is offline, indicating a sync or UI bug."
2542769,"@DropboxSupport bonjour je ne parviens plus à accéder à mon compte dropbox. J'en ai deux et ayant scratché mon mac hier, je n'ai plus accès à mes fichiers et ne me rappelle plus l'adresse source de mon compte pro. HELP",account_login,0.95,"The user reports being unable to access their Dropbox account and cannot recall the account email, indicating a login/access issue."
2974776,"@DropboxSupport Hola. Me dieron de alta en una cuenta de Dropbox Busines, ya ingresé a la cuenta, pero no puedo ver ninguno de los archivos que hay en ella. Que puedo hacer al respecto?",sync_technical_bug,0.9,"The user can log in but cannot see any files in their Dropbox Business account, indicating a sync or visibility issue."
1421734,@DropboxSupport Thank you - I wanted the files to be read-only anyway :D x,general_feedback_or_other,0.99,"The user is thanking support and expressing satisfaction, not requesting help or reporting an issue."
2331194,@DropboxSupport hi I upgraded my account and paid the 129.00 and I still don't have the access to the 2 TB,billing_subscription,0.95,"User upgraded and paid but still lacks access to the 2TB plan, indicating a billing/subscription issue."
1202354,@DropboxSupport No ! still no Blue or Green indications Mac system &amp; have tried re-install many times Thankyou !!,sync_technical_bug,0.95,"The user reports missing sync status icons (blue/green) on their Mac after reinstalling, indicating a sync technical issue."
867197,@DropboxSupport I'm trying to move a ton of files from Personal DB to Work DB. Do I have to wait for them to finish sync before i move? https://t.co/q7Bxz06bti,how_to_usage,0.95,The user is asking for guidance on whether they need to wait for sync to finish before moving files between personal and work Dropbox accounts.
1040857,"Would be great if @118189 Paper sent email updates with plain text, and not HTML only.",feature_request,0.99,User requests a feature improvement: plain text email updates instead of HTML only.
1972492,@DropboxSupport folders on desktop app do not synch to online or shared users. How can I solve this?,sync_technical_bug,0.98,"User reports folders on the desktop app are not syncing to online or shared users, indicating a sync technical issue."
2854125,"@DropboxSupport Hi, I was charged for an old work account on my personal card. Need to arrange a refund. I've send a DM. Thanks.",billing_subscription,0.95,User reports a charge on personal card for an old work account and requests a refund.
1960105,"Tenía fotos de mi gato en Dropbox, mi gato desapareció hoy. Elegí la opción restaurar pero mi gato no vuelve, es urgente @DropboxSupport.",data_loss_recovery,0.95,"The user reports missing photos of their cat and attempted to use the restore option, indicating a data loss recovery issue."
1433308,@DropboxSupport any reply to this?,general_feedback_or_other,0.8,The tweet is a vague request for a reply with no specific issue or ticket referenced.
1959288,@118189 Hi! How can I save folders (with all its content) with just one touch? instead selecting one by one?! thanks in advanced,how_to_usage,0.99,"The user is asking for guidance on how to save entire folders with one action, which is a how-to usage question."
1928260,@DropboxSupport we called to make a changes 2 a team account &amp; now everyone only has a 2gb limit!  Please DM so I can give u a # to call,billing_subscription,0.9,"The user reports a change in storage limits after modifying a team account, indicating a subscription plan issue."
1458883,"@DropboxSupport  Need help with account set up and possible conversion to Business, but cant reach anyone...",account_login,0.95,"User requests help setting up an account and converting to a Business account, which falls under account setup issues."
1186286,@DropboxSupport How do I upload Photo app pics on MacBook Air for more space on HD w/o erasing backup when I erase pics from HD on the Mac?,how_to_usage,0.95,"The user is asking for instructions on uploading photos from the Mac Photo app to Dropbox to free up local space, which is a how-to usage question."
1219561,So @118189 PROFESSIONAL gives the cool and needed “Smart Sync” to individuals. But it costs twice as much.,billing_subscription,0.95,"The user is discussing the cost of the Professional plan and its Smart Sync feature, indicating a concern about pricing."
2773993,@DropboxSupport Everything okay over there? I keep getting a 'malicious' warning,sync_technical_bug,0.8,"The user reports a 'malicious' warning, indicating an error or broken feature in the Dropbox app or website."
2384217,@118189 Though the service does not come cheap ... $199 a year for #smartsync,billing_subscription,0.95,"The tweet references the cost of the service ($199 a year), indicating a concern about pricing."
1422641,@DropboxSupport I am trying to cancel my business account and go back to basic.  The admin console is not available to me.  How do I cancel?,billing_subscription,0.98,"User wants to cancel their business account and downgrade to basic, which is a billing/subscription issue."
459509,@118189 Very costly can we have INR pricing please? Like Evernote,billing_subscription,0.95,"The user is requesting pricing in INR, which relates to billing and subscription details."
2235996,@118189 Is EVH available for Professional accounts? I have it on my Plus account and don’t want to lose.,feature_request,0.7,"The user is inquiring about the availability of a feature (EVH) for Professional accounts, which falls under feature-related queries."
118484,@DropboxSupport @115890 It is a home network. Your domain is not blocked and I  can access it via other devices (android &amp; MacBook)... I still think the problem is with Microsoft update.,sync_technical_bug,0.85,"The user reports a problem accessing Dropbox on a Windows device, suspecting a Microsoft update, indicating a technical issue with the service."
93195,Some idiot just deleted everything in his @118189 folder :-(,data_loss_recovery,0.95,"The user reports that a folder was deleted, indicating a need to recover lost data."
278604,pls...why cannt my colleagues login their accounts after I deleted them from my business trail account? @DropboxSupport,account_login,0.95,"User reports colleagues cannot log in after being deleted from a business account, indicating an access/credential issue."
615088,So if you need more than 1TB for your solo dropbox you need to buy 3 pro licenses? Why @DropboxSupport ?,billing_subscription,0.95,"The user is asking about storage limits and whether they need to purchase additional pro licenses, which relates to plan pricing and subscription details."
785409,"@DropboxSupport @DropboxSupport Just want to make sure I am not billed moving forward, I cannot login to your change password link. Can you send that to me?",account_login,0.85,"User reports inability to login to the change password link and requests the link, indicating a login access issue."
786084,Dear @118189 @DropboxSupport please fix your iOS app ‘background upload and location service option” not working cuz there isn’t any. https://t.co/5O3kDZRbUK,sync_technical_bug,0.95,"User reports iOS app background upload and location service option not working, indicating a technical bug."
2043077,@604170 @118189 I have a local folder but it doesn’t always seem to sync. So I wind up manually uploading.,sync_technical_bug,0.95,"The user reports that a local folder is not consistently syncing, indicating a sync technical issue."
2471221,@DropboxSupport I make programs and I added a auto updater that when I update it takes the user to the download link but I always get this. https://t.co/K9YHiYJ55Y,sync_technical_bug,0.92,"The user reports an error when accessing a Dropbox download link, indicating a technical issue with the service."
121896,@DropboxSupport Ticket #7281181: DB: Recuperación de archivo,data_loss_recovery,0.95,"The user references a ticket and explicitly mentions ""Recuperación de archivo"" (file recovery), indicating a need to restore deleted or missing files."
1473214,@461967 @DropboxSupport I'm also having that problem.,general_feedback_or_other,0.35,"The tweet is ambiguous and only states that the user is experiencing a problem without specifying what it is, so it cannot be confidently classified into a more specific intent."
1979488,The fact that @118189 Paper is missing offline support makes me sad while traveling with Deutsche Bahn. https://t.co/jga4vB3vEH,feature_request,0.95,"The user complains that Paper lacks offline support, indicating a desire for a new feature."
