customer_tweet_id,tweet,human_intent,model_intent,human_secondary,model_secondary,model_confidence,human_note,why_human_label_chosen,human_label_defensible,verdict,proposed_final_intent,resolved_by_rule,reason_for_decision
2124237,"Hey @118189, stop using IP addresses with no host records. Littlesnitch has to ask me permission to allow Dropbox to connect every time 😒",complaint_dissatisfaction,feature_request,,complaint_dissatisfaction,0.95,,Annoyed tone + emoji read as a rant.,no,model_right,feature_request,,"Contains a concrete actionable request ('stop using IP addresses with no host records'). Annoyance is the frame, not the need."
1497111,"So @118189 bills me $990 Cdn for ‘free trial’ of crap product, and now tells me their policy does not allow a refund. Nice fraud! Shame! https://t.co/lKkAEvqvCK",complaint_dissatisfaction,billing_subscription,billing_subscription,,0.95,,"Anger words ('fraud', 'Shame') dominated the read.",no,model_right,billing_subscription,,"A disputed charge and a refused refund is a concrete billing transaction. Anger belongs in sentiment/churn_threat, not in the intent enum."
622045,Alright @118189 it’s 2017 the fact that one shared folder uses up my entire quota is not cool.,complaint_dissatisfaction,storage_quota_plan_limits,,,0.95,,Evaluative framing ('is not cool') with no request.,yes,ambiguous,complaint_dissatisfaction,R1,Names a real quota mechanic but asks for nothing. Under a no-actionable-request rule this is complaint; under a topic-wins rule it is storage_quota. Needs the STEP 2 rule.
2425723,This is very disapointing @118189. You can't simply change the permission settings to 'everybody with the link can edit'... i understand you need to make money but this is such a basic functionality that just should work... https://t.co/fZL7urdEZW,complaint_dissatisfaction,sharing_permissions,sharing_permissions,,0.95,,Opens with 'This is very disapointing'.,yes,ambiguous,complaint_dissatisfaction,R1,Criticises a permissions limitation without asking for help. Same unresolved precedence as 622045.
838554,@DropboxSupport The auto checkbox &amp; star features are making my business user experience worthless. How do I disable?!,complaint_dissatisfaction,how_to_usage,,,0.95,,'worthless' read as dissatisfaction.,no,model_right,how_to_usage,,"Ends in an explicit 'How do I disable?!' -- an answerable question. The useful reply is the disable steps, not an apology."
1041902,@DropboxSupport I sent it from a link You guys sent me over private message last Month. So I guess u can’t do anything once again even tho I’m BUSINESS PLAN,complaint_dissatisfaction,account_access,,,0.8,,"Fragmentary grievance, no clear topic.",n/a,context_missing,,,Mid-thread reply referencing an earlier DM link. Topic is unrecoverable from this tweet alone; the model's account_access is a guess.
1050476,"@368258 @118189 @DropboxSupport whoever is controlling your Jira board needs to be fired, this was not a priority. More like a hinderance. :((",complaint_dissatisfaction,no_action_needed,,,0.95,,"Pure criticism of prioritisation, no ask.",yes,human_right,complaint_dissatisfaction,,"Textbook positive case: evaluative, no product topic, no actionable request. The model's no_action_needed is wrong -- this is an angry customer, not spam."
241283,@DropboxSupport I can't download dropbox mobile after the last update on Microsoft store,complaint_dissatisfaction,sync_app_bug,,,0.92,,Unclear; no grievance markers present at all.,no,model_right,sync_app_bug,,'I can't download dropbox mobile after the last update' is a plain bug report with neutral tone. Looks like a straightforward labeling slip.
1856823,Just crazy the new prices for @118189 plans. Geez! 😐,complaint_dissatisfaction,billing_subscription,,,0.95,,Price venting with no request.,yes,human_right,complaint_dissatisfaction,,'Just crazy the new prices. Geez!' names a billing topic but asks nothing. Positive case for complaint under the no-request rule.
1960101,@118189 can you dm me a customer service phone number please - technical support,complaint_dissatisfaction,how_to_usage,,,0.9,user want human assistance,Treated as a frustrated customer.,no,both_wrong,no_action_needed,,Asks only for a phone number. Carried entirely by the wants_human flag; neither complaint nor how_to_usage describes the need. Escalation was correct via the flag.
615215,@118189 why did you remove the green check that signs everything is alright and I'm connected to the dropbox cloud?,complaint_dissatisfaction,how_to_usage,,,0.8,,Read 'why did you remove' as criticism.,yes,ambiguous,how_to_usage,R1,INCONSISTENT with 1863374: near-identical tweet (missing green check icon) labeled how_to_usage there and complaint here.
847909,@118189 In Brazil is so expensive this service. You ougth to review this price.,complaint_dissatisfaction,billing_subscription,,,0.92,,"Price criticism, soft suggestion to review.",yes,human_right,complaint_dissatisfaction,,"'In Brazil is so expensive... You ougth to review this price' has no answerable support request. feature_request is the nearest rival, not billing."
74467,@DropboxSupport \name of the file\DSC_0015.JPG. This is extremely frustrating and a big waste of time.,complaint_dissatisfaction,sync_app_bug,,,0.6,customer frustrated and hence support required,Frustration words in a fragment.,n/a,context_missing,,,A filename plus 'extremely frustrating'. This is providing_requested_info on an unseen prior turn; no intent is recoverable standalone.
1452735,Hi @dropboxsupport why can't I get notifications of added files to my android phone?,complaint_dissatisfaction,how_to_usage,sync_app_bug,,0.95,,Unclear; tone is neutral.,no,model_right,how_to_usage,,'why can't I get notifications of added files to my android phone?' is an answerable product question with no grievance. Second labeling slip of the same shape as 241283.
