customer_tweet_id,customer_text,human_intent,system,reply,relevance,policy_compliance,grounding,tone,overall,is_deflection,judge_reason,judge_model,rubric_version
237165,@DropboxSupport Yes. I lost one and can't figure out how to remove its access.,account_access,llm,"Thanks for reaching out. To remove a device’s access, go to Settings > Security > Connected apps and revoke it. If that doesn’t work, DM us your account email and the device name so we can help. Cheers!",5,5,5,5,5,False,"The reply gives clear instructions and a correct DM request, fully addressing the issue.",openai/gpt-oss-20b,v1
237165,@DropboxSupport Yes. I lost one and can't figure out how to remove its access.,account_access,simple,"@532531 Thanks, Lauren. In this case please submit a support ticket with our team at https://t.co/y7rSTLsgY2 for further investigation. Cheers!",1,1,5,4,2,True,The reply deflects without providing instructions or correct DM details for account access.,openai/gpt-oss-20b,v1
237165,@DropboxSupport Yes. I lost one and can't figure out how to remove its access.,account_access,trivial,"Hi, thanks for reaching out! We're looking into this and will follow up shortly. In the meantime, DM us your account email so we can look into it.",5,5,5,5,5,False,"The reply follows policy, specifies needed info, and is appropriately polite.",openai/gpt-oss-20b,v1
929722,@DropboxSupport I cancelled my subscription yesterday to drop box plus and was still charged. Why did that happen? I followed Yor FAQ.,billing_subscription,llm,"@CustomerName Thanks for reaching out. To investigate the charge, DM us your cancellation date and the email on the account. We'll look into it ASAP. Thanks!",5,5,5,5,5,False,"The reply follows brand rules, provides clear next steps, and is factually safe.",openai/gpt-oss-20b,v1
929722,@DropboxSupport I cancelled my subscription yesterday to drop box plus and was still charged. Why did that happen? I followed Yor FAQ.,billing_subscription,simple,"@319543 Ethan, is this still going on for you? Let us know. Thanks!",1,1,1,2,1,True,"The reply neither addresses the billing issue nor provides any guidance, merely asking the customer to respond publicly, which fails to meet the brand’s deflection requirements for billing_subscription.",openai/gpt-oss-20b,v1
929722,@DropboxSupport I cancelled my subscription yesterday to drop box plus and was still charged. Why did that happen? I followed Yor FAQ.,billing_subscription,trivial,"Hi, thanks for reaching out! We're looking into this and will follow up shortly. In the meantime, DM us your account email so we can look into it.",4,5,5,5,4,False,"The reply correctly requests the account email for a DM, following brand rules for billing_subscription, and is safe and friendly, though it does not directly explain the charge.",openai/gpt-oss-20b,v1
1923420,@118189 @DropboxSupport @116029 it’s been a month of trying to resolve an issue but I can’t talk to a real person on the phone! 😩😭,complaint_dissatisfaction,simple,"@535627 Hi Betty, we’d like to follow-up on your request. If there’s a ticket ID to reference, please include it in a DM here. Thanks in advance!",1,1,5,3,2,True,The reply deflects the complaint without addressing the issue of phone support.,openai/gpt-oss-20b,v1
1923420,@118189 @DropboxSupport @116029 it’s been a month of trying to resolve an issue but I can’t talk to a real person on the phone! 😩😭,complaint_dissatisfaction,trivial,"Hi, thanks for reaching out! We're looking into this and will follow up shortly. In the meantime, DM us your account email so we can look into it.",4,5,5,4,4,False,"The reply addresses the complaint, follows brand rules by requesting the account email, and is factually safe, though it could be slightly more empathetic.",openai/gpt-oss-20b,v1
2250117,@DropboxSupport I have lost almost ALL my files - nothing in the folders. I made a movie and had movie files in there. Also training files!,data_loss_recovery,llm,"Hi, sorry to hear that. Please DM us your account email and the last time you saw the files so we can investigate. Take care 😄",5,5,5,5,5,False,"The reply directly addresses the data loss issue, requests the necessary account details, follows brand policy, and is factually safe.",openai/gpt-oss-20b,v1
2250117,@DropboxSupport I have lost almost ALL my files - nothing in the folders. I made a movie and had movie files in there. Also training files!,data_loss_recovery,simple,"@550642 Hey Marcus, if you'd like to just see &amp; download these files, ask your friend to share a link with you: https://t.co/W3dHXhkvqq. Cheers!",1,1,3,2,1,True,"The reply does not address the data loss issue and merely redirects the user to a generic link, violating brand rules for data_loss_recovery.",openai/gpt-oss-20b,v1
2250117,@DropboxSupport I have lost almost ALL my files - nothing in the folders. I made a movie and had movie files in there. Also training files!,data_loss_recovery,trivial,"Hi, thanks for reaching out! We're looking into this and will follow up shortly. In the meantime, DM us your account email so we can look into it.",4,5,5,5,5,False,"The reply correctly requests the account email for data loss recovery, follows brand policy, and is factually safe and appropriately toned.",openai/gpt-oss-20b,v1
1529752,@DropboxSupport When you report a questionable login to an account's owner please provide the IP address of suspicious login.,feature_request,llm,"We do include the IP address in the email notification for questionable logins. If you’re not seeing it, let us know and we’ll help you enable it. Thanks for the feedback! 😊",5,5,5,5,5,False,"The reply directly addresses the feature request, confirms the IP is included, offers help if missing, and follows brand tone.",openai/gpt-oss-20b,v1
1529752,@DropboxSupport When you report a questionable login to an account's owner please provide the IP address of suspicious login.,feature_request,simple,@293803 Thanks again for sharing this with us - we definitely find this as valuable feedback and it’s useful to know how this is seen from a user perspective. 😊,1,1,5,4,1,True,The reply does not address the feature request and merely thanks the user.,openai/gpt-oss-20b,v1
1529752,@DropboxSupport When you report a questionable login to an account's owner please provide the IP address of suspicious login.,feature_request,trivial,"Hi, thanks for reaching out! We're looking into this and will follow up shortly. In the meantime, DM us your account email so we can look into it.",1,1,4,4,1,True,The reply deflects to a DM without addressing the feature request or providing the requested IP information.,openai/gpt-oss-20b,v1
37940,WTF @dropboxsupport? What am I supposed to do with this hidden menu? I can't access my shared folder! https://t.co/hQJPkd7Pjv,how_to_usage,llm,"Hey! If the folder is shared with you, click the hidden menu (three dots) next to the folder name and choose ‘Open’ or ‘Accept’. If that’s not working, try clearing the app cache or reinstalling. Let us know if you still hit a snag!",5,5,5,5,5,False,The reply directly provides actionable steps to resolve the hidden menu issue.,openai/gpt-oss-20b,v1
37940,WTF @dropboxsupport? What am I supposed to do with this hidden menu? I can't access my shared folder! https://t.co/hQJPkd7Pjv,how_to_usage,simple,"@434186 Ah gotcha! Is someone else the owner of this shared folder, and have they added the PNG's?",1,1,5,3,1,False,"The reply does not address the hidden menu issue or provide instructions, failing to comply with brand rules for how-to usage.",openai/gpt-oss-20b,v1
37940,WTF @dropboxsupport? What am I supposed to do with this hidden menu? I can't access my shared folder! https://t.co/hQJPkd7Pjv,how_to_usage,trivial,"Hi, thanks for reaching out! We're looking into this and will follow up shortly. In the meantime, DM us your account email so we can look into it.",1,1,5,3,1,True,The reply deflects to a DM without providing any actionable information about the hidden menu or how to access the shared folder.,openai/gpt-oss-20b,v1
2179670,@DropboxSupport Will do.,no_action_needed,llm,"Got it! If you need any more help, just let us know. Thanks for using Dropbox!",5,5,5,5,5,False,Acknowledges the customer's confirmation and offers further help.,openai/gpt-oss-20b,v1
2179670,@DropboxSupport Will do.,no_action_needed,simple,"Hi, thanks for reaching out! We're looking into this and will follow up shortly. In the meantime, DM us your account email so we can look into it.",3,5,5,4,3,False,"The reply follows policy by requesting the account email, but it is generic and not tailored to the customer’s brief response, so relevance is moderate.",openai/gpt-oss-20b,v1
2179670,@DropboxSupport Will do.,no_action_needed,trivial,"Hi, thanks for reaching out! We're looking into this and will follow up shortly. In the meantime, DM us your account email so we can look into it.",2,5,5,5,3,True,"The reply deflects to DM without addressing the customer's tweet, which is unnecessary for a no_action_needed intent.",openai/gpt-oss-20b,v1
1754987,@DropboxSupport What’s the best way to report phishing invites?,phishing_abuse_report,llm,"@DropboxSupport Hi there, thanks for flagging. The best practice is to email our security team at security@dropbox.com. Have a great day!",5,5,5,5,5,False,"The reply directly addresses the phishing report by providing a specific email address for the security team, following brand guidelines and avoiding deflection.",openai/gpt-oss-20b,v1
1754987,@DropboxSupport What’s the best way to report phishing invites?,phishing_abuse_report,simple,"@467143 Hi Andrew, could you please DM us some detail on what seems to be issue you are referring to? Thanks in advance!",1,1,5,4,1,True,"The reply deflects to a DM without providing any guidance or specifying what information is needed, violating the brand rule for this intent.",openai/gpt-oss-20b,v1
1754987,@DropboxSupport What’s the best way to report phishing invites?,phishing_abuse_report,trivial,"Hi, thanks for reaching out! We're looking into this and will follow up shortly. In the meantime, DM us your account email so we can look into it.",5,5,5,5,5,False,"The reply directly addresses the phishing report request, correctly asks for the account email via DM, and follows brand guidelines without inventing details.",openai/gpt-oss-20b,v1
750253,"Lol somebody tried to log into my @118189 again, i just changed password yesterday, do you guys getting breaches?",security_account_compromise,simple,"@549821 Hey Gustaf, all should be up and running now. Apologies for the inconvenience &amp; please let us know if you're still having any issues, thx!",1,1,4,3,1,False,Reply does not address the security concern and fails to follow brand policy for security_account_compromise.,openai/gpt-oss-20b,v1
750253,"Lol somebody tried to log into my @118189 again, i just changed password yesterday, do you guys getting breaches?",security_account_compromise,trivial,"Hi, thanks for reaching out! We're looking into this and will follow up shortly. In the meantime, DM us your account email so we can look into it.",5,5,5,5,5,False,"The reply correctly requests the account email, follows brand policy, and addresses the security concern.",openai/gpt-oss-20b,v1
2507946,@118189 is the 2FA down right now?,service_outage,llm,"@118189 2FA is currently working. If you’re still having trouble, try accessing the login page in an incognito window or let us know. Thanks!",5,5,5,5,5,False,"The reply directly addresses the outage question, offers troubleshooting, and follows brand guidelines.",openai/gpt-oss-20b,v1
2507946,@118189 is the 2FA down right now?,service_outage,simple,"@445974 Hi Rich, the Dropbox website was experiencing issues on Saturday, which have now been resolved. Apologies for any inconvenience!",1,1,1,3,1,False,Reply does not address the customer's question about 2FA status.,openai/gpt-oss-20b,v1
