customer_tweet_id,customer_text,brand_text,sample_source,suggested_intent,suggested_secondary_intent,suggested_turn_type,suggested_confidence,suggested_flags,suggested_sentiment,suggested_language
989345,@118189 I usually have other documents which belong to a text but I can't keep them together if I want to use Paper.,"@354394 Hi Thomas, thanks for sharing your desire for more integration between the Dropbox application and Paper. We’re tracking this and... 1/2",main_random,how_to_usage,,first_contact,0.95,,neutral,en
2623839,"Soy sólo yo o @118189 se curo, choco curao y lo remplazaron con el primo feo de provincia?","@741237 Hola Cristián ¿Nos puedes escribir a https://t.co/y7rSTLsgY2? Desde allí, veremos cómo te podemos ayudar. ¡Gracias!",main_random,complaint_dissatisfaction,,first_contact,0.95,,negative,es
810000,@DropboxSupport Has Dropbox Support always been this bad? Still no intelligent answer.,"@312993 Hi there, we’ve replied to your DM regarding the Sync icon in the desktop app!",main_random,complaint_dissatisfaction,,first_contact,0.95,,negative,en
232548,".@118189, with the new #iOS11, I can’t export files to my phone, i.e. edited videos for Instagram. App crashes so used Google Drive.","@171352 Hi Will, are you on iOS 11.0.2, and Dropbox 66.2? Does this happen for any file you export from the Dropbox app?",main_random,sync_app_bug,,first_contact,0.95,,negative,en
1507042,@DropboxSupport Thank you for your responses. I have messaged you the ticket number received last evening.,"@366039 Hi Kerry, we’ve just replied to your DM - Let us know once you’ve had the chance to review it. Thanks!",main_random,no_action_needed,,providing_requested_info,0.9,,neutral,en
1972451,@DropboxSupport Also if I can a showcase can a read only version be shared with clients ?,"@584215 Hi again, as long as the settings are set up appropriately, you can collab on Paper docs with any other Dropbox user 😊 Also, you can... 1/2",topup,sharing_permissions,how_to_usage,first_contact,0.95,,neutral,en
2430108,"@DropboxSupport hi there! Is dropbox down today? I'm getting ""This site can't be reached"" messages. HALP!","@423304 Hey Page, have you tried accessing: https://t.co/mYtkfqU20R through an incognito window? Also, are connecting through a work network? Feel free to DM us a screenshot of what you’re seeing here, so as to make sure we’re sending over the right info. Thanks in advance!",topup,service_outage,,first_contact,0.98,,negative,en
2124237,"Hey @118189, stop using IP addresses with no host records. Littlesnitch has to ask me permission to allow Dropbox to connect every time 😒","@625701 Hi Gary, could you send us more details about this in a DM so we can investigate? Thanks!",topup,feature_request,complaint_dissatisfaction,first_contact,0.95,,negative,en
1299266,"@DropboxSupport ""Because you’ve already reached your quota, your Dropbox will stop syncing files"". It will continue syncing until sub runs out, yes? 2/2","@370994 Hi again, generally speaking, if your Dropbox account is over quota then only syncing stops. Nothing will be removed and syncing will... 1/3",topup,storage_quota_plan_limits,,first_contact,0.95,,neutral,en
1497111,"So @118189 bills me $990 Cdn for ‘free trial’ of crap product, and now tells me their policy does not allow a refund. Nice fraud! Shame! https://t.co/lKkAEvqvCK","@458345 Hi Ted, sorry to hear you feel this way. Could you please DM us the ticket ID so we can follow up on the case? Thanks.",topup,billing_subscription,,first_contact,0.95,,angry,en
