side,customer_tweet_id,tweet,human_intent,model_intent,why_human_label_chosen,human_label_defensible,first_pass_verdict,verdict,proposed_final_intent,changed_on_recheck,recheck_note,reason_for_decision
false_negative,2124237,"Hey @118189, stop using IP addresses with no host records. Littlesnitch has to ask me permission to allow Dropbox to connect every time 😒",complaint_dissatisfaction,feature_request,Annoyed tone + emoji read as a rant.,no,model_right,model_right,feature_request,no,"Verdict stands. Noting that 'stop using IP addresses with no host records' is a request to STOP a behaviour, not to add one; it lands in feature_request via the same 'product feedback' clause that FP row 1960138 turns on.","Contains a concrete actionable request ('stop using IP addresses with no host records'). Annoyance is the frame, not the need."
false_negative,1497111,"So @118189 bills me $990 Cdn for ‘free trial’ of crap product, and now tells me their policy does not allow a refund. Nice fraud! Shame! https://t.co/lKkAEvqvCK",complaint_dissatisfaction,billing_subscription,"Anger words ('fraud', 'Shame') dominated the read.",no,model_right,model_right,billing_subscription,no,,"A disputed charge and a refused refund is a concrete billing transaction. Anger belongs in sentiment/churn_threat, not in the intent enum."
false_negative,622045,Alright @118189 it’s 2017 the fact that one shared folder uses up my entire quota is not cool.,complaint_dissatisfaction,storage_quota_plan_limits,Evaluative framing ('is not cool') with no request.,yes,ambiguous,ambiguous,complaint_dissatisfaction,no,,Names a real quota mechanic but asks for nothing. Under a no-actionable-request rule this is complaint; under a topic-wins rule it is storage_quota. Needs the STEP 2 rule.
false_negative,2425723,This is very disapointing @118189. You can't simply change the permission settings to 'everybody with the link can edit'... i understand you need to make money but this is such a basic functionality that just should work... https://t.co/fZL7urdEZW,complaint_dissatisfaction,sharing_permissions,Opens with 'This is very disapointing'.,yes,ambiguous,ambiguous,complaint_dissatisfaction,no,"Verdict (ambiguous) stands, but the recheck adds a third candidate: 'such a basic functionality that just should work' is product feedback, so feature_request competes with complaint and sharing_permissions here.",Criticises a permissions limitation without asking for help. Same unresolved precedence as 622045.
false_negative,838554,@DropboxSupport The auto checkbox &amp; star features are making my business user experience worthless. How do I disable?!,complaint_dissatisfaction,how_to_usage,'worthless' read as dissatisfaction.,no,model_right,model_right,how_to_usage,no,,"Ends in an explicit 'How do I disable?!' -- an answerable question. The useful reply is the disable steps, not an apology."
false_negative,1041902,@DropboxSupport I sent it from a link You guys sent me over private message last Month. So I guess u can’t do anything once again even tho I’m BUSINESS PLAN,complaint_dissatisfaction,account_access,"Fragmentary grievance, no clear topic.",,context_missing,context_missing,,no,,Mid-thread reply referencing an earlier DM link. Topic is unrecoverable from this tweet alone; the model's account_access is a guess.
false_negative,1050476,"@368258 @118189 @DropboxSupport whoever is controlling your Jira board needs to be fired, this was not a priority. More like a hinderance. :((",complaint_dissatisfaction,no_action_needed,"Pure criticism of prioritisation, no ask.",yes,human_right,human_right,complaint_dissatisfaction,no,,"Textbook positive case: evaluative, no product topic, no actionable request. The model's no_action_needed is wrong -- this is an angry customer, not spam."
false_negative,241283,@DropboxSupport I can't download dropbox mobile after the last update on Microsoft store,complaint_dissatisfaction,sync_app_bug,Unclear; no grievance markers present at all.,no,model_right,model_right,sync_app_bug,no,,'I can't download dropbox mobile after the last update' is a plain bug report with neutral tone. Looks like a straightforward labeling slip.
false_negative,1856823,Just crazy the new prices for @118189 plans. Geez! 😐,complaint_dissatisfaction,billing_subscription,Price venting with no request.,yes,human_right,human_right,complaint_dissatisfaction,no,,'Just crazy the new prices. Geez!' names a billing topic but asks nothing. Positive case for complaint under the no-request rule.
false_negative,1960101,@118189 can you dm me a customer service phone number please - technical support,complaint_dissatisfaction,how_to_usage,Treated as a frustrated customer.,no,both_wrong,both_wrong,no_action_needed,no,,Asks only for a phone number. Carried entirely by the wants_human flag; neither complaint nor how_to_usage describes the need. Escalation was correct via the flag.
